id,time,appCat.builtin
AS14.01,2014-03-20 22:25:56.111,2.288
AS14.01,2014-03-20 22:34:51.135,1.007
AS14.01,2014-03-20 22:48:30.211,37.125
AS14.01,2014-03-20 22:49:37.628,1.003
AS14.01,2014-03-20 22:50:40.273,4.017
AS14.01,2014-03-20 22:51:00.348,3.01
AS14.01,2014-03-20 22:53:16.815,1.003
AS14.01,2014-03-20 22:54:42.092,1.002
AS14.01,2014-03-20 22:55:39.267,1.002
AS14.01,2014-03-20 22:55:41.276,2.041
AS14.01,2014-03-20 22:56:26.444,2.004
AS14.01,2014-03-20 22:56:30.456,1.001
AS14.01,2014-03-20 22:56:32.463,2.006
AS14.01,2014-03-20 22:58:14.621,1.023
AS14.01,2014-03-20 22:59:50.980,2.004
AS14.01,2014-03-20 23:01:57.091,1.003
AS14.01,2014-03-20 23:11:38.635,1.006
AS14.01,2014-03-20 23:12:38.880,1.099
AS14.01,2014-03-20 23:13:36.158,1.135
AS14.01,2014-03-20 23:14:59.207,2.134
AS14.01,2014-03-20 23:22:08.529,3.005
AS14.01,2014-03-20 23:22:47.921,2.005
AS14.01,2014-03-20 23:24:39.247,3.008
AS14.01,2014-03-20 23:25:50.917,1.003
AS14.01,2014-03-20 23:26:50.793,2.025
AS14.01,2014-03-20 23:32:02.641,3.014
AS14.01,2014-03-20 23:33:33.012,5.065
AS14.01,2014-03-20 23:39:46.917,6.023
AS14.01,2014-03-20 23:40:10.996,6.022
AS14.01,2014-03-20 23:40:22.055,2.005
AS14.01,2014-03-20 23:42:06.802,3.008
AS14.01,2014-03-20 23:42:09.812,90.388
AS14.01,2014-03-20 23:43:40.200,2.005
AS14.01,2014-03-20 23:44:31.525,9.543
AS14.01,2014-03-20 23:45:31.252,6.043
AS14.01,2014-03-20 23:45:51.394,4.996
AS14.01,2014-03-20 23:48:14.418,5.012
AS14.01,2014-03-20 23:48:28.467,1.79
AS14.01,2014-03-20 23:48:32.773,15.062
AS14.01,2014-03-20 23:55:04.746,4.013
AS14.01,2014-03-20 23:57:33.482,3.013
AS14.01,2014-03-20 23:58:31.145,3.018
AS14.01,2014-03-21 00:00:22.486,8.029
AS14.01,2014-03-21 00:02:47.357,4.013
AS14.01,2014-03-21 00:02:51.375,3.017
AS14.01,2014-03-21 00:02:54.404,4.836
AS14.01,2014-03-21 00:10:43.779,11.939
AS14.01,2014-03-21 02:12:22.845,19.148
AS14.01,2014-03-21 02:59:55.042,15.203
AS14.01,2014-03-21 03:12:27.453,82.33
AS14.01,2014-03-21 03:13:52.801,11.034
AS14.01,2014-03-21 03:18:35.020,6.821
AS14.01,2014-03-21 03:19:51.542,9.038
AS14.01,2014-03-21 03:20:11.023,4.031
AS14.01,2014-03-21 03:24:49.260,4.407
AS14.01,2014-03-21 03:24:56.696,5.085
AS14.01,2014-03-21 03:25:06.210,2.11
AS14.01,2014-03-21 03:52:03.948,10.669
AS14.01,2014-03-21 08:00:02.111,7.189
AS14.01,2014-03-21 08:00:09.305,17.177
AS14.01,2014-03-21 08:00:39.556,3.014
AS14.01,2014-03-21 08:02:29.592,5.012
AS14.01,2014-03-21 08:02:34.605,10.051
AS14.01,2014-03-21 08:02:44.657,3.076
AS14.01,2014-03-21 09:00:02.017,9.06
AS14.01,2014-03-21 09:00:11.079,9.43
AS14.01,2014-03-21 09:10:01.746,6.016
AS14.01,2014-03-21 09:10:07.765,9.713
AS14.01,2014-03-21 09:20:01.933,4.149
AS14.01,2014-03-21 09:20:06.088,9.611
AS14.01,2014-03-21 09:30:02.509,4.01
AS14.01,2014-03-21 09:30:06.525,10.354
AS14.01,2014-03-21 09:40:02.303,6.022
AS14.01,2014-03-21 09:40:08.332,9.979
AS14.01,2014-03-21 09:50:01.897,5.014
AS14.01,2014-03-21 09:50:06.913,16.087
AS14.01,2014-03-21 09:51:04.194,2.015
AS14.01,2014-03-21 09:51:44.381,3.009
AS14.01,2014-03-21 09:52:36.661,3.009
AS14.01,2014-03-21 09:54:58.338,3.084
AS14.01,2014-03-21 09:57:19.010,2.004
AS14.01,2014-03-21 09:57:36.142,1.004
AS14.01,2014-03-21 09:57:49.186,1.002
AS14.01,2014-03-21 09:58:45.325,2.004
AS14.01,2014-03-21 09:58:49.335,4.396
AS14.01,2014-03-21 10:01:45.615,2.121
AS14.01,2014-03-21 10:02:47.273,14.044
AS14.01,2014-03-21 10:03:23.414,2.009
AS14.01,2014-03-21 10:04:55.413,2.007
AS14.01,2014-03-21 10:05:14.507,12.054
AS14.01,2014-03-21 10:08:37.285,5.06
AS14.01,2014-03-21 10:10:03.144,3.084
AS14.01,2014-03-21 10:10:33.298,6.022
AS14.01,2014-03-21 10:14:22.459,4.088
AS14.01,2014-03-21 10:15:36.892,2.005
AS14.01,2014-03-21 10:15:40.921,3.01
AS14.01,2014-03-21 10:23:30.670,2.008
AS14.01,2014-03-21 10:24:38.019,3.008
AS14.01,2014-03-21 10:25:11.111,14.046
AS14.01,2014-03-21 10:25:59.273,2.004
AS14.01,2014-03-21 10:26:15.365,3.143
AS14.01,2014-03-21 10:26:18.515,3.009
AS14.01,2014-03-21 10:26:29.565,3.009
AS14.01,2014-03-21 10:26:50.789,9.066
AS14.01,2014-03-21 10:31:43.990,5.019
AS14.01,2014-03-21 10:31:49.009,310.916
AS14.01,2014-03-21 10:36:59.927,2.005
AS14.01,2014-03-21 10:37:22.000,2.004
AS14.01,2014-03-21 10:38:54.358,3.028
AS14.01,2014-03-21 10:39:18.562,3.022
AS14.01,2014-03-21 10:39:23.595,1.004
AS14.01,2014-03-21 10:39:56.755,3.041
AS14.01,2014-03-21 10:40:57.042,2.008
AS14.01,2014-03-21 10:40:59.052,8.035
AS14.01,2014-03-21 10:42:47.710,2.739
AS14.01,2014-03-21 10:43:00.957,2.802
AS14.01,2014-03-21 10:45:39.019,3.03
AS14.01,2014-03-21 10:46:24.213,5.014
AS14.01,2014-03-21 10:49:43.213,4.028
AS14.01,2014-03-21 10:55:16.598,2.005
AS14.01,2014-03-21 10:58:11.470,8.068
AS14.01,2014-03-21 10:58:30.661,2.005
AS14.01,2014-03-21 10:59:00.908,1.001
AS14.01,2014-03-21 10:59:33.020,1.023
AS14.01,2014-03-21 11:05:07.394,17.06
AS14.01,2014-03-21 11:08:01.163,1.129
AS14.01,2014-03-21 11:08:33.365,5.016
AS14.01,2014-03-21 11:08:42.420,3.122
AS14.01,2014-03-21 11:10:31.994,5.016
AS14.01,2014-03-21 11:12:14.405,12.134
AS14.01,2014-03-21 11:13:18.704,13.044
AS14.01,2014-03-21 11:16:08.191,1.004
AS14.01,2014-03-21 11:16:14.214,1.002
AS14.01,2014-03-21 11:16:15.217,1.004
AS14.01,2014-03-21 11:16:16.224,5.025
AS14.01,2014-03-21 11:18:18.171,1.002
AS14.01,2014-03-21 11:19:49.684,27.124
AS14.01,2014-03-21 11:20:43.940,2.586
AS14.01,2014-03-21 11:21:41.186,8.246
AS14.01,2014-03-21 12:16:35.246,2.003
AS14.01,2014-03-21 12:17:38.651,1.343
AS14.01,2014-03-21 12:19:22.108,3.012
AS14.01,2014-03-21 12:21:42.591,2.006
AS14.01,2014-03-21 12:23:09.483,4.687
AS14.01,2014-03-21 12:35:00.413,9.382
AS14.01,2014-03-21 12:41:39.177,2.147
AS14.01,2014-03-21 12:45:24.823,18.069
AS14.01,2014-03-21 12:50:18.598,9.045
AS14.01,2014-03-21 12:52:05.378,1.002
AS14.01,2014-03-21 12:52:08.460,3.008
AS14.01,2014-03-21 12:52:11.469,26.266
AS14.01,2014-03-21 12:58:18.591,7.027
AS14.01,2014-03-21 12:59:40.414,5.652
AS14.01,2014-03-21 12:59:50.822,2.227
AS14.01,2014-03-21 13:00:51.130,6.074
AS14.01,2014-03-21 13:01:47.421,62.244
AS14.01,2014-03-21 13:04:47.194,8.033
AS14.01,2014-03-21 13:04:59.005,3.468
AS14.01,2014-03-21 13:06:21.349,6.024
