id,time,appCat.communication
AS14.01,2014-03-20 22:25:58.417,4.19
AS14.01,2014-03-20 22:34:48.921,2.009
AS14.01,2014-03-20 22:49:07.341,30.286
AS14.01,2014-03-20 22:50:44.292,16.054
AS14.01,2014-03-20 22:53:03.756,13.053
AS14.01,2014-03-20 22:54:26.042,16.048
AS14.01,2014-03-20 22:55:43.319,22.064
AS14.01,2014-03-20 22:56:05.391,21.05
AS14.01,2014-03-20 22:56:31.459,1.002
AS14.01,2014-03-20 22:57:25.273,17.137
AS14.01,2014-03-20 22:57:42.516,32.104
AS14.01,2014-03-20 22:58:15.647,75.251
AS14.01,2014-03-20 22:59:30.908,20.064
AS14.01,2014-03-20 22:59:52.989,108.853
AS14.01,2014-03-20 23:01:41.848,15.24
AS14.01,2014-03-20 23:01:58.095,558.334
AS14.01,2014-03-20 23:11:16.441,22.189
AS14.01,2014-03-20 23:11:39.645,59.227
AS14.01,2014-03-20 23:13:37.296,41.253
AS14.01,2014-03-20 23:14:18.556,10.675
AS14.01,2014-03-20 23:14:58.206,1.002
AS14.01,2014-03-20 23:15:01.342,21.103
AS14.01,2014-03-20 23:15:22.454,34.615
AS14.01,2014-03-20 23:17:23.111,9.228
AS14.01,2014-03-20 23:20:43.724,19.832
AS14.01,2014-03-20 23:22:05.513,3.014
AS14.01,2014-03-20 23:23:11.020,88.112
AS14.01,2014-03-20 23:24:42.256,68.658
AS14.01,2014-03-20 23:26:52.845,196.47
AS14.01,2014-03-20 23:31:08.102,54.533
AS14.01,2014-03-20 23:33:00.905,32.104
AS14.01,2014-03-20 23:34:23.253,323.661
AS14.01,2014-03-20 23:40:24.061,102.741
AS14.01,2014-03-20 23:43:42.207,49.315
AS14.01,2014-03-20 23:45:37.308,14.082
AS14.01,2014-03-20 23:48:19.434,9.032
AS14.01,2014-03-20 23:57:36.499,54.644
AS14.01,2014-03-21 03:50:19.989,103.402
AS14.01,2014-03-21 08:00:26.486,13.06
AS14.01,2014-03-21 08:02:11.040,12.811
AS14.01,2014-03-21 08:02:26.549,3.039
AS14.01,2014-03-21 09:50:23.002,11.051
AS14.01,2014-03-21 09:50:34.059,30.13
AS14.01,2014-03-21 09:54:16.095,42.243
AS14.01,2014-03-21 09:56:56.944,22.066
AS14.01,2014-03-21 09:57:37.157,12.027
AS14.01,2014-03-21 09:58:53.733,171.851
AS14.01,2014-03-21 10:03:01.321,22.075
AS14.01,2014-03-21 10:07:51.128,46.147
AS14.01,2014-03-21 10:10:06.230,27.065
AS14.01,2014-03-21 10:14:26.552,70.334
AS14.01,2014-03-21 10:16:50.109,400.556
AS14.01,2014-03-21 10:24:41.029,30.082
AS14.01,2014-03-21 10:25:25.164,34.107
AS14.01,2014-03-21 10:26:01.278,14.087
AS14.01,2014-03-21 10:26:21.539,8.024
AS14.01,2014-03-21 10:26:59.861,284.117
AS14.01,2014-03-21 10:37:01.938,20.056
AS14.01,2014-03-21 10:37:24.006,90.348
AS14.01,2014-03-21 10:42:26.648,21.059
AS14.01,2014-03-21 10:45:42.066,42.143
AS14.01,2014-03-21 10:47:42.423,120.77
AS14.01,2014-03-21 10:52:46.078,127.685
AS14.01,2014-03-21 10:55:13.503,3.01
AS14.01,2014-03-21 10:56:57.982,73.282
AS14.01,2014-03-21 10:58:19.559,1.002
AS14.01,2014-03-21 10:58:20.562,10.097
AS14.01,2014-03-21 10:58:32.667,28.239
AS14.01,2014-03-21 10:59:01.914,31.096
AS14.01,2014-03-21 11:03:19.969,11.044
AS14.01,2014-03-21 11:03:35.427,10.691
AS14.01,2014-03-21 11:03:47.970,79.414
AS14.01,2014-03-21 11:08:02.293,31.07
AS14.01,2014-03-21 11:09:38.828,53.159
AS14.01,2014-03-21 11:18:19.174,90.496
AS14.01,2014-03-21 11:20:16.809,27.13
AS14.01,2014-03-21 11:21:49.434,46.419
AS14.01,2014-03-21 11:25:21.049,44.628
AS14.01,2014-03-21 11:26:16.375,13.434
AS14.01,2014-03-21 11:36:18.421,72.532
AS14.01,2014-03-21 11:37:32.637,24.269
AS14.01,2014-03-21 11:52:36.430,164.06
AS14.01,2014-03-21 11:58:57.210,8.03
AS14.01,2014-03-21 11:59:19.490,6.086
AS14.01,2014-03-21 11:59:58.736,13.935
AS14.01,2014-03-21 12:04:26.219,31.745
AS14.01,2014-03-21 12:11:41.561,19.603
AS14.01,2014-03-21 12:13:57.299,157.94
AS14.01,2014-03-21 12:19:25.125,137.462
AS14.01,2014-03-21 12:41:41.328,129.919
AS14.01,2014-03-21 12:45:42.900,14.19
AS14.01,2014-03-21 12:50:12.546,6.048
AS14.01,2014-03-21 12:52:37.753,57.462
AS14.01,2014-03-21 12:53:56.897,15.752
AS14.01,2014-03-21 12:55:23.220,64.006
AS14.01,2014-03-21 12:57:57.092,21.494
AS14.01,2014-03-21 13:06:27.378,20.602
AS14.01,2014-03-21 13:31:44.490,43.994
AS14.01,2014-03-21 13:36:21.677,22.192
AS14.01,2014-03-21 13:39:33.006,42.222
AS14.01,2014-03-21 13:41:33.217,7.043
AS14.01,2014-03-21 15:10:53.755,248.318
AS14.01,2014-03-21 15:16:04.598,53.619
AS14.01,2014-03-21 15:17:31.576,84.934
AS14.01,2014-03-21 15:19:32.976,4.014
AS14.01,2014-03-21 15:19:38.997,33.363
AS14.01,2014-03-21 15:22:08.371,50.304
AS14.01,2014-03-21 15:34:39.118,9.049
AS14.01,2014-03-21 15:41:03.678,69.976
AS14.01,2014-03-21 15:43:36.846,3.121
AS14.01,2014-03-21 15:44:30.148,44.165
AS14.01,2014-03-21 15:48:33.157,11.787
AS14.01,2014-03-21 16:04:36.757,78.596
AS14.01,2014-03-21 16:14:04.392,18.704
AS14.01,2014-03-21 16:14:34.147,40.064
AS14.01,2014-03-21 16:15:44.627,27.248
AS14.01,2014-03-21 16:23:53.427,38.477
AS14.01,2014-03-21 16:25:47.151,24.48
AS14.01,2014-03-21 16:26:38.098,20.076
AS14.01,2014-03-21 16:26:59.270,25.168
AS14.01,2014-03-21 16:29:09.092,14.676
AS14.01,2014-03-21 16:30:13.437,56.819
AS14.01,2014-03-21 17:20:47.223,24.737
AS14.01,2014-03-21 17:32:05.915,29.056
AS14.01,2014-03-21 17:51:51.170,4.046
AS14.01,2014-03-21 17:51:56.260,11.064
AS14.01,2014-03-21 17:52:10.359,13.56
AS14.01,2014-03-21 17:57:26.638,3.014
AS14.01,2014-03-21 17:58:29.095,124.986
AS14.01,2014-03-21 18:00:52.328,30.261
AS14.01,2014-03-21 19:03:31.220,243.854
AS14.01,2014-03-21 19:09:24.668,124.619
AS14.01,2014-03-21 19:25:22.582,30.474
AS14.01,2014-03-21 19:38:32.207,371.52
AS14.01,2014-03-21 19:45:12.006,54.464
AS14.01,2014-03-21 19:53:22.688,365.377
AS14.01,2014-03-21 20:00:08.289,7.118
AS14.01,2014-03-21 20:04:43.404,257.814
AS14.01,2014-03-21 20:10:21.188,1.991
AS14.01,2014-03-21 20:14:21.966,6.54
AS14.01,2014-03-21 20:20:15.941,3.812
AS14.01,2014-03-21 20:25:06.272,39.5
AS14.01,2014-03-21 20:25:47.328,9.702
AS14.01,2014-03-21 20:39:32.421,5.127
AS14.01,2014-03-21 20:39:37.549,80.766
AS14.01,2014-03-21 20:42:11.040,1.246
AS14.01,2014-03-21 20:48:26.171,6.385
AS14.01,2014-03-21 20:48:40.023,1.444
AS14.01,2014-03-21 20:49:24.286,15.055
AS14.01,2014-03-21 21:31:17.627,30.229
AS14.01,2014-03-21 21:31:49.878,11.039
