id,time,appCat.entertainment
AS14.01,2014-03-20 22:40:30.552,6.211
AS14.01,2014-03-20 23:22:11.536,2.004
AS14.01,2014-03-20 23:22:13.540,34.378
AS14.01,2014-03-20 23:32:05.657,55.239
AS14.01,2014-03-20 23:55:08.760,144.711
AS14.01,2014-03-20 23:58:34.165,108.313
AS14.01,2014-03-21 10:10:39.326,223.126
AS14.01,2014-03-21 10:15:38.898,2.021
AS14.01,2014-03-21 10:49:47.243,2.012
AS14.01,2014-03-21 10:49:49.256,176.821
AS14.01,2014-03-21 11:08:38.384,4.034
AS14.01,2014-03-21 11:08:45.551,1.014
AS14.01,2014-03-21 11:08:46.571,52.248
AS14.01,2014-03-21 11:10:37.015,97.388
AS14.01,2014-03-21 11:13:31.750,11.196
AS14.01,2014-03-21 11:16:04.161,4.025
AS14.01,2014-03-21 13:02:49.667,117.484
AS14.01,2014-03-21 15:10:20.400,21.236
AS14.01,2014-03-21 15:10:51.749,2.004
AS14.01,2014-03-21 15:34:56.256,202.347
AS14.01,2014-03-21 15:39:13.013,3.021
AS14.01,2014-03-21 15:40:46.480,17.061
AS14.01,2014-03-21 17:57:31.671,2.006
AS14.01,2014-03-21 17:57:33.680,31.268
AS14.01,2014-03-21 20:04:06.246,37.144
AS14.01,2014-03-22 17:44:07.538,89.314
AS14.01,2014-03-22 17:45:39.869,4.01
AS14.01,2014-03-23 16:21:24.438,4.028
AS14.01,2014-03-23 18:04:19.789,47.14
AS14.01,2014-03-23 18:06:05.216,43.178
AS14.01,2014-03-24 08:19:48.016,13.053
AS14.01,2014-03-24 08:20:04.086,315.628
AS14.01,2014-03-24 08:35:42.996,5.03
AS14.01,2014-03-24 08:39:26.032,30.12
AS14.01,2014-03-24 08:40:10.210,591.054
AS14.01,2014-03-24 08:50:03.285,11.034
AS14.01,2014-03-24 08:57:05.121,5.011
AS14.01,2014-03-24 17:17:38.138,6.041
AS14.01,2014-03-25 15:55:09.585,18.066
AS14.01,2014-03-25 21:41:43.000,50.14
AS14.01,2014-03-26 00:57:56.694,120.373
AS14.01,2014-03-26 09:45:19.450,247.954
AS14.01,2014-03-26 09:49:28.414,227.766
AS14.01,2014-03-26 11:09:43.996,95.402
AS14.01,2014-03-26 11:19:18.140,29.107
AS14.01,2014-03-26 11:21:24.385,2.024
AS14.01,2014-03-26 22:18:49.017,187.853
AS14.01,2014-03-27 07:53:12.858,59.47
AS14.01,2014-03-27 07:54:14.339,14.048
AS14.01,2014-03-27 11:07:10.654,42.259
AS14.01,2014-03-27 14:04:43.346,23.235
AS14.01,2014-03-27 19:16:27.852,55.361
AS14.01,2014-03-27 20:30:05.257,118.61
AS14.01,2014-03-27 20:35:49.019,87.71
AS14.01,2014-03-27 20:46:47.677,236.64
AS14.01,2014-03-27 20:56:29.931,2.006
AS14.01,2014-03-28 00:13:02.503,114.496
AS14.01,2014-03-28 00:15:23.145,16.059
AS14.01,2014-03-28 10:25:21.132,4.023
AS14.01,2014-03-28 14:10:16.246,41.096
AS14.01,2014-03-28 14:11:00.361,28.182
AS14.01,2014-03-28 18:04:45.450,185.767
AS14.01,2014-03-28 18:08:04.344,26.099
AS14.01,2014-03-28 18:10:20.950,52.25
AS14.01,2014-03-28 20:44:37.505,64.231
AS14.01,2014-03-28 20:58:24.566,340.443
AS14.01,2014-03-28 21:04:19.053,132.757
AS14.01,2014-03-29 12:42:48.213,492.262
AS14.01,2014-03-29 13:42:55.711,1.007
AS14.01,2014-03-29 13:42:56.724,303.4
AS14.01,2014-03-29 13:52:12.934,5.025
AS14.01,2014-03-29 16:15:41.029,7.335
AS14.01,2014-03-29 16:17:11.697,59.241
AS14.01,2014-03-29 16:24:58.030,144.739
AS14.01,2014-03-29 16:28:21.016,36.353
AS14.01,2014-03-29 17:05:36.779,3.042
AS14.01,2014-03-29 17:54:03.640,77.369
AS14.01,2014-03-29 19:27:25.114,30.133
AS14.01,2014-03-29 21:44:52.773,21.204
AS14.01,2014-03-29 21:46:37.312,8.034
AS14.01,2014-03-29 23:51:45.039,238.742
AS14.01,2014-03-29 23:56:45.790,199.543
AS14.01,2014-03-30 00:16:00.101,31.269
AS14.01,2014-03-30 00:35:46.394,456.879
AS14.01,2014-03-30 11:32:51.918,50.259
AS14.01,2014-03-30 11:33:52.219,117.543
AS14.01,2014-03-30 11:36:57.634,53.495
AS14.01,2014-03-30 11:53:53.585,94.43
AS14.01,2014-03-30 16:57:40.555,401.289
AS14.01,2014-03-30 22:46:05.835,213.94
AS14.01,2014-03-30 22:49:41.812,116.573
AS14.01,2014-03-31 09:40:19.085,180.481
AS14.01,2014-03-31 10:00:48.186,4.011
AS14.01,2014-03-31 17:34:48.845,70.966
AS14.01,2014-03-31 17:36:07.203,41.148
AS14.01,2014-03-31 17:39:59.013,45.825
AS14.01,2014-03-31 17:41:16.812,14.304
AS14.01,2014-03-31 17:41:49.927,9.079
AS14.01,2014-03-31 17:44:33.520,39.01
AS14.01,2014-03-31 17:47:58.122,10.221
AS14.01,2014-03-31 17:55:10.421,101.452
AS14.01,2014-03-31 18:05:47.460,99.446
AS14.01,2014-03-31 18:08:06.273,20.148
AS14.01,2014-03-31 18:08:35.453,10.044
AS14.01,2014-03-31 18:10:19.658,11.053
AS14.01,2014-03-31 18:20:25.249,7.018
AS14.01,2014-03-31 18:25:09.398,13.077
AS14.01,2014-03-31 18:25:42.578,4.011
AS14.01,2014-03-31 18:25:58.628,9.03
AS14.01,2014-03-31 18:26:09.671,10.038
AS14.01,2014-03-31 18:26:19.711,30.076
AS14.01,2014-03-31 18:26:49.796,35.333
AS14.01,2014-03-31 18:27:30.145,62.373
AS14.01,2014-03-31 18:54:19.815,21.061
AS14.01,2014-03-31 18:57:46.015,20.271
AS14.01,2014-03-31 18:58:58.997,5.024
AS14.01,2014-03-31 19:01:09.674,16.039
AS14.01,2014-03-31 19:06:18.865,5.163
AS14.01,2014-03-31 21:05:33.153,100.622
AS14.01,2014-03-31 21:07:14.828,145.88
AS14.01,2014-03-31 21:10:24.174,376.29
AS14.01,2014-03-31 21:19:52.157,10.023
AS14.01,2014-03-31 22:08:05.413,2.235
AS14.01,2014-03-31 22:08:07.654,156.804
AS14.01,2014-03-31 23:14:53.428,71.364
AS14.01,2014-04-01 00:11:20.361,99.57
AS14.01,2014-04-01 08:01:01.355,229.187
AS14.01,2014-04-01 08:48:08.930,113.514
AS14.01,2014-04-01 08:50:12.496,5.048
AS14.01,2014-04-01 08:50:37.653,33.134
AS14.01,2014-04-01 10:57:15.328,2.026
AS14.01,2014-04-01 12:42:18.368,8.117
AS14.01,2014-04-01 12:49:58.571,168.617
AS14.01,2014-04-01 19:35:30.167,82.659
AS14.01,2014-04-01 19:54:19.493,14.101
AS14.01,2014-04-01 19:54:35.635,2.007
AS14.01,2014-04-01 20:16:52.628,28.081
AS14.01,2014-04-01 20:17:53.957,5.142
AS14.01,2014-04-01 20:19:07.553,2.012
AS14.01,2014-04-01 20:27:08.700,16.146
AS14.01,2014-04-01 20:27:45.072,50.143
AS14.01,2014-04-01 20:30:50.887,25.428
AS14.01,2014-04-01 20:42:04.937,17.705
AS14.01,2014-04-01 20:46:30.375,5.815
AS14.01,2014-04-01 20:46:39.698,3.512
AS14.01,2014-04-01 20:59:58.104,5.05
AS14.01,2014-04-01 23:20:55.180,58.4
AS14.01,2014-04-01 23:23:00.131,12.038
AS14.01,2014-04-01 23:23:15.184,43.185
AS14.01,2014-04-02 07:49:55.167,45.192
AS14.01,2014-04-02 07:52:04.447,9.17
AS14.01,2014-04-02 08:43:32.801,32.113
AS14.01,2014-04-02 08:44:07.927,27.219
AS14.01,2014-04-02 08:44:47.065,4.192
AS14.01,2014-04-02 09:16:35.987,41.249
AS14.01,2014-04-02 12:06:18.664,175.748
AS14.01,2014-04-02 12:17:54.680,79.736
AS14.01,2014-04-02 12:20:49.055,140.166
AS14.01,2014-04-02 12:23:34.609,159.848
AS14.01,2014-04-02 12:52:29.592,17.149
AS14.01,2014-04-02 12:56:08.322,2.526
AS14.01,2014-04-02 12:56:54.802,2.014
AS14.01,2014-04-02 13:09:56.910,23.231
AS14.01,2014-04-02 13:19:41.448,8.388
AS14.01,2014-04-02 13:53:34.348,7.061
AS14.01,2014-04-02 13:53:41.411,120.076
AS14.01,2014-04-02 14:47:14.700,1.005
AS14.01,2014-04-02 14:47:15.707,11.449
AS14.01,2014-04-02 14:48:08.132,3.011
AS14.01,2014-04-02 17:41:13.891,13.028
AS14.01,2014-04-02 19:39:43.892,60.754
AS14.01,2014-04-02 20:00:42.394,0.445
AS14.01,2014-04-02 20:01:04.710,5.043
AS14.01,2014-04-02 20:09:27.415,53.407
AS14.01,2014-04-02 20:56:02.605,35.389
AS14.01,2014-04-02 21:01:06.328,211.131
AS14.01,2014-04-02 21:15:00.032,25.37
AS14.01,2014-04-02 21:24:40.098,28.266
AS14.01,2014-04-03 09:46:19.707,116.785
AS14.01,2014-04-03 10:06:57.842,11.033
AS14.01,2014-04-03 11:48:18.872,159.825
AS14.01,2014-04-03 14:21:01.657,22.211
AS14.01,2014-04-03 14:26:35.950,8.023
AS14.01,2014-04-03 14:27:43.315,1.002
AS14.01,2014-04-03 14:30:02.190,18.06
AS14.01,2014-04-03 14:30:35.381,29.105
AS14.01,2014-04-03 14:46:34.773,4.027
AS14.01,2014-04-03 14:46:58.779,31.126
AS14.01,2014-04-03 14:47:56.012,15.322
AS14.01,2014-04-03 14:48:39.586,5.622
AS14.01,2014-04-03 14:49:00.200,25.069
AS14.01,2014-04-03 14:52:24.296,6.093
AS14.01,2014-04-03 14:58:36.040,14.112
AS14.01,2014-04-03 14:59:15.323,12.061
AS14.01,2014-04-03 15:00:45.989,231.727
AS14.01,2014-04-03 15:04:53.765,10.239
AS14.01,2014-04-03 15:06:00.556,24.383
AS14.01,2014-04-03 15:07:10.441,3.028
AS14.01,2014-04-03 16:49:29.359,135.768
AS14.01,2014-04-03 21:31:41.569,9.328
AS14.01,2014-04-03 21:42:27.023,125.482
AS14.01,2014-04-03 21:44:52.601,100.421
AS14.01,2014-04-03 21:46:56.335,150.717
AS14.01,2014-04-03 23:50:48.648,23.062
AS14.01,2014-04-04 00:03:45.739,5.009
AS14.01,2014-04-04 00:18:37.025,161.59
AS14.01,2014-04-04 10:07:10.020,2.013
AS14.01,2014-04-04 10:14:38.062,90.668
