id,time,appCat.office
AS14.01,2014-03-21 11:17:02.808,62.281
AS14.01,2014-03-21 21:34:05.635,5.479
AS14.01,2014-03-21 21:36:26.292,104.446
AS14.01,2014-03-24 11:00:01.621,3.01
AS14.01,2014-03-27 11:12:57.898,68.235
AS14.01,2014-03-27 11:14:06.138,9.031
AS14.01,2014-03-27 11:14:15.170,21.067
AS14.01,2014-03-27 11:14:36.237,4.011
AS14.01,2014-03-27 11:14:40.250,3.163
AS14.01,2014-03-27 11:14:43.414,13.054
AS14.01,2014-03-27 11:14:56.469,4.02
AS14.01,2014-03-27 11:15:00.490,21.067
AS14.01,2014-03-27 11:15:21.558,2.096
AS14.01,2014-03-27 19:02:32.792,12.397
AS14.01,2014-03-27 19:03:25.101,8.089
AS14.01,2014-03-27 19:12:56.494,16.221
AS14.01,2014-04-01 08:13:12.957,28.764
AS14.01,2014-04-01 19:13:01.572,60.465
AS14.01,2014-04-01 19:23:28.542,3.159
AS14.01,2014-04-02 10:42:37.619,90.481
AS14.01,2014-04-07 12:53:47.283,17.107
AS14.01,2014-04-10 11:19:56.875,23.195
AS14.01,2014-05-01 13:49:20.880,28.098
AS14.03,2014-03-21 15:00:21.306,10.046
AS14.03,2014-03-23 10:13:41.980,1.42
AS14.03,2014-03-23 10:17:43.328,6.203
AS14.03,2014-03-23 10:18:22.015,102.158
AS14.03,2014-03-23 10:25:23.028,52.217
AS14.03,2014-03-24 14:23:33.059,1.968
AS14.03,2014-03-24 14:24:08.417,6.045
AS14.03,2014-03-24 17:04:51.961,14.27
AS14.03,2014-03-24 17:05:09.892,54.064
AS14.03,2014-03-24 17:06:08.901,48.978
AS14.03,2014-03-25 09:32:05.739,5.056
AS14.03,2014-03-25 10:31:45.117,40.885
AS14.03,2014-03-25 10:32:51.657,32.504
AS14.03,2014-03-25 10:36:52.134,18.908
AS14.03,2014-03-25 10:40:04.286,19.137
AS14.03,2014-03-25 11:33:48.663,1.133
AS14.03,2014-03-25 11:37:22.736,0.931
AS14.03,2014-03-25 11:44:25.424,4.105
AS14.03,2014-03-25 15:49:50.653,11.687
AS14.03,2014-03-25 15:50:18.921,3.679
AS14.03,2014-03-25 15:50:45.045,3.051
AS14.03,2014-03-26 08:51:58.137,15.673
AS14.03,2014-03-26 08:53:31.964,0.842
AS14.03,2014-03-26 08:53:53.941,0.945
AS14.03,2014-03-26 08:54:25.219,3.224
AS14.03,2014-03-27 12:08:45.635,5.273
AS14.03,2014-03-27 16:13:20.977,8.164
AS14.03,2014-03-28 11:36:28.515,6.043
AS14.03,2014-03-28 18:25:58.542,7.041
AS14.03,2014-03-28 18:26:13.108,33.122
AS14.03,2014-03-30 12:04:52.121,26.284
AS14.03,2014-04-01 10:08:15.898,2.208
AS14.03,2014-04-01 12:50:07.242,40.75
AS14.03,2014-04-01 19:23:36.227,14.346
AS14.03,2014-04-01 19:53:06.967,5.186
AS14.03,2014-04-02 19:41:35.924,12.586
AS14.03,2014-04-02 19:58:38.762,1.148
AS14.03,2014-04-02 20:08:21.898,0.921
AS14.03,2014-04-02 20:35:59.862,4.044
AS14.03,2014-04-04 18:00:20.680,6.163
AS14.03,2014-04-05 14:43:42.871,1.033
AS14.03,2014-04-05 14:45:40.394,3.031
AS14.03,2014-04-05 23:23:25.233,102.422
AS14.03,2014-04-07 18:38:03.736,10.261
AS14.03,2014-04-07 18:38:57.900,45.57
AS14.03,2014-04-07 18:39:48.934,65.536
AS14.03,2014-04-07 18:41:00.855,3.314
AS14.03,2014-04-08 23:18:43.131,1494.864
AS14.03,2014-04-09 20:21:24.289,1.417
AS14.03,2014-04-09 21:25:07.934,4.766
AS14.03,2014-04-09 21:50:14.082,10.087
AS14.03,2014-04-10 20:53:35.253,5.217
AS14.03,2014-04-11 15:17:34.957,2.1
AS14.03,2014-04-11 22:32:35.015,7.06
AS14.03,2014-04-13 21:49:17.743,38.363
AS14.03,2014-04-13 21:50:00.275,81.616
AS14.03,2014-04-13 21:51:21.903,13.09
AS14.03,2014-04-13 21:51:39.049,26.183
AS14.03,2014-04-13 21:52:10.443,21.208
AS14.03,2014-04-13 21:52:31.776,50.241
AS14.03,2014-04-13 21:53:22.088,106.03
AS14.03,2014-04-13 21:56:31.450,2.526
AS14.03,2014-04-13 21:56:35.262,6.078
AS14.03,2014-04-13 22:00:19.171,44.353
AS14.03,2014-04-13 22:01:03.526,210.106
AS14.03,2014-04-13 22:23:04.364,5.762
AS14.03,2014-04-13 22:28:14.542,9.069
AS14.03,2014-04-13 22:36:14.809,10.105
