id,time,appCat.other
AS14.01,2014-03-20 22:25:45.190,10.343
AS14.01,2014-03-20 22:55:40.273,1.002
AS14.01,2014-03-21 09:51:06.210,38.16
AS14.01,2014-03-21 11:16:21.252,41.542
AS14.01,2014-03-21 11:18:05.125,13.045
AS14.01,2014-03-21 11:59:05.259,14.23
AS14.01,2014-03-21 12:52:06.387,2.043
AS14.01,2014-03-21 15:10:41.637,10.111
AS14.01,2014-03-21 19:07:35.079,109.584
AS14.01,2014-03-21 21:30:52.543,11.036
AS14.01,2014-03-22 08:56:16.665,8.267
AS14.01,2014-03-22 11:05:38.082,8.023
AS14.01,2014-03-22 12:01:01.006,10.116
AS14.01,2014-03-22 15:18:57.635,8.054
AS14.01,2014-03-22 17:45:49.901,37.578
AS14.01,2014-03-22 18:00:43.177,14.051
AS14.01,2014-03-22 21:09:59.993,12.054
AS14.01,2014-03-23 10:06:34.677,12.04
AS14.01,2014-03-23 12:53:40.523,9.028
AS14.01,2014-03-23 14:16:36.582,4.215
AS14.01,2014-03-23 15:35:20.461,7.288
AS14.01,2014-03-23 19:08:43.338,8.033
AS14.01,2014-03-23 21:28:02.690,32.219
AS14.01,2014-03-24 09:19:53.151,12.239
AS14.01,2014-03-24 11:10:01.515,13.093
AS14.01,2014-03-24 12:10:59.111,9.079
AS14.01,2014-03-24 15:24:04.782,9.022
AS14.01,2014-03-24 18:00:46.865,12.086
AS14.01,2014-03-24 21:03:23.243,11.039
AS14.01,2014-03-25 09:18:26.109,8.195
AS14.01,2014-03-25 11:19:19.316,5.016
AS14.01,2014-03-25 15:05:04.095,9.081
AS14.01,2014-03-25 20:37:05.023,9.388
AS14.01,2014-03-25 20:40:07.267,97.937
AS14.01,2014-03-25 21:12:28.305,49.202
AS14.01,2014-03-26 09:42:04.901,10.038
AS14.01,2014-03-26 11:21:32.461,40.973
AS14.01,2014-03-26 12:17:23.430,13.182
AS14.01,2014-03-26 15:05:20.589,7.02
AS14.01,2014-03-26 18:06:29.233,13.236
AS14.01,2014-03-26 21:18:37.163,13.049
AS14.01,2014-03-27 09:17:46.753,7.208
AS14.01,2014-03-27 11:06:25.484,4.014
AS14.01,2014-03-27 14:07:04.555,9.056
AS14.01,2014-03-27 15:17:57.780,10.164
AS14.01,2014-03-27 17:52:58.401,21.071
AS14.01,2014-03-27 23:21:34.075,7.019
AS14.01,2014-03-28 10:25:29.230,39.172
AS14.01,2014-03-28 12:16:25.869,30.352
AS14.01,2014-03-28 15:39:39.250,32.125
AS14.01,2014-03-28 18:07:51.217,13.125
AS14.01,2014-03-28 20:49:52.446,101.133
AS14.01,2014-03-28 21:08:18.585,10.044
AS14.01,2014-03-29 10:27:10.516,9.028
AS14.01,2014-03-29 11:50:28.648,83.503
AS14.01,2014-03-29 11:57:49.355,12.043
AS14.01,2014-03-29 16:08:54.546,9.023
AS14.01,2014-03-29 17:14:06.892,30.602
AS14.01,2014-03-29 18:30:51.618,12.361
AS14.01,2014-03-29 21:09:42.473,13.034
AS14.01,2014-03-30 11:20:58.341,3.195
AS14.01,2014-03-30 11:33:42.180,10.035
AS14.01,2014-03-30 12:56:05.591,9.155
AS14.01,2014-03-30 15:10:47.756,14.047
