id,time,appCat.social
AS14.01,2014-03-20 22:49:38.631,61.641
AS14.01,2014-03-20 22:51:03.359,120.396
AS14.01,2014-03-20 22:53:17.819,68.216
AS14.01,2014-03-20 22:54:43.095,56.169
AS14.01,2014-03-20 22:56:28.450,2.004
AS14.01,2014-03-20 23:12:39.986,56.171
AS14.01,2014-03-20 23:25:51.921,58.871
AS14.01,2014-03-20 23:39:52.941,18.054
AS14.01,2014-03-20 23:40:17.019,5.031
AS14.01,2014-03-20 23:48:47.845,186.637
AS14.01,2014-03-20 23:52:10.200,174.541
AS14.01,2014-03-21 00:00:30.523,136.829
AS14.01,2014-03-21 03:20:15.055,274.175
AS14.01,2014-03-21 08:00:42.572,88.361
AS14.01,2014-03-21 09:51:47.391,49.267
AS14.01,2014-03-21 09:52:39.673,96.413
AS14.01,2014-03-21 09:55:01.430,115.513
AS14.01,2014-03-21 09:57:21.016,15.126
AS14.01,2014-03-21 09:57:50.188,55.136
AS14.01,2014-03-21 09:58:47.331,2.004
AS14.01,2014-03-21 10:01:47.736,59.52
AS14.01,2014-03-21 10:03:25.430,89.982
AS14.01,2014-03-21 10:04:57.420,17.087
AS14.01,2014-03-21 10:05:26.562,144.562
AS14.01,2014-03-21 10:15:43.936,66.173
AS14.01,2014-03-21 10:23:32.683,65.335
AS14.01,2014-03-21 10:38:57.390,21.16
AS14.01,2014-03-21 10:39:21.586,2.007
AS14.01,2014-03-21 10:41:07.088,79.558
AS14.01,2014-03-21 10:46:29.227,73.187
AS14.01,2014-03-21 10:59:34.046,225.916
AS14.01,2014-03-21 11:05:24.456,156.706
AS14.01,2014-03-21 11:59:25.578,33.157
AS14.01,2014-03-21 12:16:37.250,61.394
AS14.01,2014-03-21 12:21:44.596,84.884
AS14.01,2014-03-21 12:50:27.644,97.726
AS14.01,2014-03-21 12:58:25.618,74.791
AS14.01,2014-03-21 13:00:57.204,50.214
AS14.01,2014-03-21 13:32:29.496,8.096
AS14.01,2014-03-21 13:36:43.871,10.039
AS14.01,2014-03-21 13:49:17.394,151.137
AS14.01,2014-03-21 13:54:45.868,45.965
AS14.01,2014-03-21 14:04:53.331,151.413
AS14.01,2014-03-21 14:08:05.111,9.04
AS14.01,2014-03-21 14:08:18.207,48.682
AS14.01,2014-03-21 14:16:48.822,293.315
AS14.01,2014-03-21 14:23:50.766,60.692
AS14.01,2014-03-21 14:25:10.036,3.01
AS14.01,2014-03-21 14:27:17.757,593.347
AS14.01,2014-03-21 14:40:33.115,59.136
AS14.01,2014-03-21 14:41:38.644,13.057
AS14.01,2014-03-21 14:41:53.726,7.036
AS14.01,2014-03-21 15:17:00.232,31.334
AS14.01,2014-03-21 15:20:24.451,49.274
AS14.01,2014-03-21 15:21:36.259,25.081
AS14.01,2014-03-21 15:34:51.232,2.008
AS14.01,2014-03-21 15:43:39.976,50.166
AS14.01,2014-03-21 15:45:16.328,62.457
AS14.01,2014-03-21 15:46:23.818,38.517
AS14.01,2014-03-21 15:47:34.382,9.34
AS14.01,2014-03-21 15:48:00.921,32.227
AS14.01,2014-03-21 16:05:57.380,31.089
AS14.01,2014-03-21 16:06:33.555,4.019
AS14.01,2014-03-21 16:06:43.611,63.304
AS14.01,2014-03-21 16:11:59.375,25.105
AS14.01,2014-03-21 16:12:24.482,99.904
AS14.01,2014-03-21 16:27:28.581,37.447
AS14.01,2014-03-21 16:29:06.079,3.011
AS14.01,2014-03-21 19:25:58.246,167.769
AS14.01,2014-03-21 19:28:48.025,21.075
AS14.01,2014-03-21 20:00:17.424,65.225
AS14.01,2014-03-22 08:57:50.763,14.042
AS14.01,2014-03-22 09:28:32.487,22.676
AS14.01,2014-03-22 09:29:03.232,132.648
AS14.01,2014-03-22 11:35:19.000,25.07
AS14.01,2014-03-22 14:32:27.065,75.472
AS14.01,2014-03-22 14:33:46.553,40.275
AS14.01,2014-03-22 14:58:10.977,4.009
AS14.01,2014-03-22 14:58:15.990,54.455
AS14.01,2014-03-22 15:07:48.140,3.025
AS14.01,2014-03-22 16:04:06.914,17.277
AS14.01,2014-03-22 19:28:16.775,45.661
AS14.01,2014-03-22 19:37:52.729,5.022
AS14.01,2014-03-23 10:00:05.470,41.311
AS14.01,2014-03-23 12:53:51.586,12.028
AS14.01,2014-03-23 16:33:24.601,37.159
AS14.01,2014-03-23 17:43:16.150,39.202
AS14.01,2014-03-23 17:44:02.721,70.611
AS14.01,2014-03-23 17:46:13.023,9.447
AS14.01,2014-03-23 17:50:05.361,4.947
AS14.01,2014-03-23 17:50:28.431,2.005
AS14.01,2014-03-23 18:02:42.157,97.63
AS14.01,2014-03-23 18:05:06.931,53.256
AS14.01,2014-03-23 21:14:58.996,14.138
AS14.01,2014-03-23 21:15:27.282,65.664
AS14.01,2014-03-23 21:28:40.938,4.031
AS14.01,2014-03-23 21:28:49.983,51.564
AS14.01,2014-03-23 21:32:13.138,3.006
AS14.01,2014-03-23 21:57:53.585,125.355
AS14.01,2014-03-23 23:40:01.647,251.425
AS14.01,2014-03-23 23:45:05.234,18.06
AS14.01,2014-03-24 08:17:42.302,17.072
AS14.01,2014-03-24 08:18:03.460,41.262
AS14.01,2014-03-24 08:25:22.805,244.726
AS14.01,2014-03-24 08:30:09.928,15.966
AS14.01,2014-03-24 08:31:34.108,247.665
AS14.01,2014-03-24 08:37:41.717,93.259
AS14.01,2014-03-24 08:53:32.497,210.611
AS14.01,2014-03-24 08:58:52.036,146.129
AS14.01,2014-03-24 09:01:21.884,9.787
AS14.01,2014-03-24 09:04:30.839,609.847
AS14.01,2014-03-24 09:19:15.046,6.022
AS14.01,2014-03-24 09:36:45.118,69.778
AS14.01,2014-03-24 09:42:44.196,3.041
AS14.01,2014-03-24 09:43:04.417,64.475
AS14.01,2014-03-24 09:53:08.257,6.066
AS14.01,2014-03-24 09:54:07.584,48.193
AS14.01,2014-03-24 10:00:17.759,110.337
AS14.01,2014-03-24 10:31:44.240,11.409
AS14.01,2014-03-24 10:58:14.888,57.168
AS14.01,2014-03-24 11:39:32.523,44.157
AS14.01,2014-03-24 12:11:21.255,39.337
AS14.01,2014-03-24 13:12:14.507,98.007
AS14.01,2014-03-24 13:18:10.813,28.285
AS14.01,2014-03-24 13:29:52.532,21.888
AS14.01,2014-03-24 13:32:14.260,6.044
AS14.01,2014-03-24 17:08:17.611,51.376
AS14.01,2014-03-24 17:15:22.684,35.238
AS14.01,2014-03-24 17:17:45.184,10.028
AS14.01,2014-03-24 17:21:23.062,31.125
AS14.01,2014-03-24 17:21:59.220,3.487
AS14.01,2014-03-24 18:28:33.170,32.105
AS14.01,2014-03-24 18:33:08.101,69.437
AS14.01,2014-03-24 18:34:21.345,5.029
AS14.01,2014-03-24 18:57:06.161,12.032
AS14.01,2014-03-24 18:58:06.562,37.338
AS14.01,2014-03-24 19:01:46.938,3.03
AS14.01,2014-03-24 19:24:26.092,200.698
AS14.01,2014-03-24 19:29:53.023,347.294
AS14.01,2014-03-24 19:36:27.076,31.379
AS14.01,2014-03-24 19:38:24.792,1.437
AS14.01,2014-03-24 19:47:22.996,34.782
AS14.01,2014-03-24 19:50:44.286,2.006
AS14.01,2014-03-24 22:41:13.200,65.274
