id,time,appCat.travel
AS14.01,2014-03-21 10:39:42.667,14.067
AS14.01,2014-03-21 10:39:59.799,57.238
AS14.01,2014-03-21 11:16:09.200,5.01
AS14.01,2014-03-21 13:55:44.901,21.521
AS14.01,2014-03-21 13:56:15.641,428.503
AS14.01,2014-03-21 14:04:46.164,6.149
AS14.01,2014-03-21 14:09:21.980,208.032
AS14.01,2014-03-21 14:15:08.957,19.696
AS14.01,2014-03-21 14:16:42.767,2.016
AS14.01,2014-03-21 14:21:58.203,111.537
AS14.01,2014-03-21 14:37:26.184,8.113
AS14.01,2014-03-21 14:38:03.273,14.493
AS14.01,2014-03-21 14:40:11.003,19.07
AS14.01,2014-03-22 09:53:13.749,37.305
AS14.01,2014-03-24 13:32:32.375,21.97
AS14.01,2014-03-24 13:41:53.361,9.045
AS14.01,2014-03-24 13:42:02.417,1.91
AS14.01,2014-03-24 13:45:08.335,384.8
AS14.01,2014-03-24 13:54:57.835,2.08
AS14.01,2014-03-27 18:49:55.687,44.302
AS14.01,2014-03-27 18:51:16.142,3.012
AS14.01,2014-03-28 10:47:08.490,118.501
AS14.01,2014-03-28 10:49:11.033,36.191
AS14.01,2014-03-28 10:50:00.486,14.047
AS14.01,2014-03-28 10:52:13.400,40.233
AS14.01,2014-03-28 10:54:36.486,10.113
AS14.01,2014-03-28 12:17:28.128,126.604
AS14.01,2014-03-28 14:12:24.005,50.262
AS14.01,2014-03-28 14:13:38.394,161.586
AS14.01,2014-03-28 14:16:43.217,54.113
AS14.01,2014-03-28 14:19:11.255,76.724
AS14.01,2014-03-28 14:21:11.326,15.789
AS14.01,2014-03-28 14:22:02.971,5.104
AS14.01,2014-03-28 14:22:23.158,9.588
AS14.01,2014-03-28 14:23:22.970,16.128
AS14.01,2014-03-28 14:23:39.099,353.492
AS14.01,2014-03-28 14:41:10.164,1.009
AS14.01,2014-03-28 17:33:59.986,24.378
AS14.01,2014-03-28 18:36:34.276,6.022
AS14.01,2014-03-28 18:36:41.302,13.125
AS14.01,2014-03-29 12:09:53.305,39.224
AS14.01,2014-03-29 12:24:50.523,8.026
AS14.01,2014-03-29 12:26:19.220,5.185
AS14.01,2014-03-31 09:39:31.890,41.176
AS14.01,2014-03-31 17:53:49.473,33.505
AS14.01,2014-03-31 17:54:25.059,30.251
AS14.01,2014-03-31 18:43:35.963,34.318
AS14.01,2014-03-31 18:44:11.311,44.131
AS14.01,2014-04-01 10:59:31.733,52.663
AS14.01,2014-04-01 11:03:03.198,41.37
AS14.01,2014-04-01 11:03:55.670,22.12
AS14.01,2014-04-01 11:24:26.584,5.974
AS14.01,2014-04-01 11:26:19.471,312.661
AS14.01,2014-04-01 11:33:04.602,185.071
AS14.01,2014-04-01 11:37:05.299,239.801
AS14.01,2014-04-01 11:44:06.959,168.0
AS14.01,2014-04-01 11:47:50.397,7.068
AS14.01,2014-04-01 11:51:48.973,19.074
AS14.01,2014-04-01 11:53:16.581,210.309
AS14.01,2014-04-01 11:57:30.637,1.003
AS14.01,2014-04-01 12:09:04.857,81.577
AS14.01,2014-04-01 12:12:27.880,267.93
AS14.01,2014-04-03 22:51:51.584,19.082
AS14.01,2014-04-04 15:24:57.401,22.067
AS14.01,2014-04-04 15:26:42.194,1.463
AS14.01,2014-04-04 15:26:54.341,3.008
AS14.01,2014-04-04 15:37:45.703,110.584
AS14.01,2014-04-04 15:40:15.177,4.028
AS14.01,2014-04-04 15:44:12.263,7.028
AS14.01,2014-04-04 15:47:58.322,10.063
AS14.01,2014-04-05 12:25:02.061,46.376
AS14.01,2014-04-05 12:26:19.759,25.33
AS14.01,2014-04-05 12:27:24.565,61.315
AS14.01,2014-04-05 12:28:29.994,20.039
AS14.01,2014-04-05 12:29:08.098,4.014
AS14.01,2014-04-05 12:30:52.684,30.871
AS14.01,2014-04-07 13:10:11.984,60.247
AS14.01,2014-04-11 17:08:15.358,34.234
AS14.01,2014-04-12 22:43:36.917,5.031
AS14.01,2014-04-14 13:27:45.946,5.015
AS14.01,2014-04-14 14:38:05.391,24.089
AS14.01,2014-04-15 15:31:00.063,8.363
AS14.01,2014-04-18 14:08:26.443,16.051
AS14.01,2014-04-18 14:49:55.703,44.799
AS14.01,2014-04-18 14:53:41.740,3.024
AS14.01,2014-04-19 14:25:13.964,68.465
AS14.01,2014-04-19 14:26:39.607,60.425
AS14.01,2014-04-21 13:58:30.726,1.009
AS14.01,2014-04-21 13:58:38.766,57.213
AS14.01,2014-04-21 13:59:36.996,10.056
AS14.01,2014-04-24 22:26:13.578,14.061
AS14.01,2014-04-24 23:17:58.986,33.089
AS14.01,2014-04-24 23:19:01.651,4.034
AS14.01,2014-04-25 10:12:45.927,22.067
AS14.01,2014-04-25 19:02:23.365,38.068
AS14.01,2014-04-25 19:06:31.663,3.181
AS14.01,2014-04-26 10:50:33.358,65.344
AS14.01,2014-04-26 11:33:09.595,26.006
AS14.01,2014-04-26 11:33:37.447,35.193
AS14.01,2014-04-26 11:34:15.710,15.881
AS14.01,2014-04-26 11:46:07.963,9.561
AS14.01,2014-04-26 11:50:04.022,14.967
AS14.01,2014-04-26 11:50:21.247,6.131
AS14.01,2014-04-26 11:50:27.380,15.335
AS14.01,2014-04-26 12:02:47.592,35.974
AS14.01,2014-04-26 12:05:11.391,33.117
AS14.01,2014-04-26 12:18:33.608,14.374
AS14.01,2014-04-26 12:18:51.007,32.262
AS14.01,2014-04-26 12:24:03.184,28.623
AS14.01,2014-04-26 12:29:31.042,26.359
AS14.01,2014-04-26 12:34:29.385,1.569
AS14.01,2014-04-26 12:36:38.467,6.029
AS14.01,2014-04-26 12:36:48.536,3.006
AS14.01,2014-04-26 12:37:01.701,15.009
AS14.01,2014-04-26 12:39:57.132,10.079
AS14.01,2014-04-26 19:20:30.588,75.954
AS14.01,2014-04-29 11:26:45.378,34.954
AS14.01,2014-04-29 11:29:56.058,7.028
AS14.01,2014-04-30 13:32:17.645,84.777
AS14.01,2014-04-30 14:10:40.276,22.221
AS14.01,2014-04-30 14:12:48.644,1.267
AS14.01,2014-04-30 14:14:12.742,2.808
AS14.01,2014-04-30 14:14:58.819,3.404
AS14.01,2014-04-30 14:15:37.375,44.594
AS14.01,2014-04-30 14:17:14.628,7.225
AS14.01,2014-04-30 14:17:59.957,6.024
AS14.01,2014-04-30 14:18:13.016,46.909
AS14.01,2014-04-30 14:19:25.470,2.085
AS14.01,2014-04-30 14:22:29.233,11.875
AS14.01,2014-04-30 14:22:44.427,5.357
AS14.01,2014-04-30 14:23:57.592,3.008
AS14.01,2014-04-30 14:30:04.520,16.124
AS14.01,2014-04-30 14:32:35.438,4.075
AS14.01,2014-04-30 14:34:24.993,11.045
AS14.01,2014-05-03 20:10:27.733,143.631
AS14.02,2014-03-15 11:46:57.217,16.184
AS14.02,2014-03-15 11:49:06.525,17.042
AS14.02,2014-03-15 11:52:09.759,45.746
AS14.02,2014-03-15 11:59:44.589,2.022
AS14.02,2014-03-15 11:59:47.630,4.036
AS14.02,2014-03-15 12:03:59.296,34.3
AS14.02,2014-03-15 13:05:45.005,3.293
AS14.02,2014-03-15 13:09:21.644,3.077
AS14.02,2014-03-19 18:46:29.017,96.495
AS14.02,2014-03-19 18:48:23.191,12.432
AS14.02,2014-03-19 18:50:45.542,9.949
AS14.02,2014-03-19 18:50:59.354,6.354
AS14.02,2014-03-19 18:53:39.625,6.882
AS14.02,2014-03-19 18:54:09.443,10.161
AS14.02,2014-03-19 18:55:32.789,10.229
AS14.02,2014-03-19 18:59:58.934,48.157
AS14.02,2014-03-19 19:01:17.398,4.384
AS14.02,2014-03-19 19:15:42.319,3.467
AS14.02,2014-03-19 19:16:24.117,61.237
AS14.02,2014-03-19 19:18:56.046,10.262
AS14.02,2014-03-19 19:29:06.298,5.0
AS14.02,2014-03-19 19:40:04.357,10.135
AS14.02,2014-03-19 19:40:26.976,14.409
AS14.02,2014-03-19 20:12:15.015,3.236
AS14.02,2014-03-19 20:12:43.091,4.719
AS14.02,2014-03-19 20:16:13.464,19.351
AS14.02,2014-03-19 20:16:33.724,3.585
AS14.02,2014-03-19 20:21:05.378,12.905
AS14.02,2014-03-19 20:23:06.296,10.723
AS14.02,2014-03-19 20:23:22.355,34.632
AS14.02,2014-03-19 20:23:59.417,29.77
AS14.02,2014-03-19 20:24:32.467,27.879
AS14.02,2014-03-19 20:25:11.927,57.945
AS14.02,2014-03-19 20:47:53.292,12.131
AS14.02,2014-03-19 21:01:51.463,3.606
AS14.02,2014-03-19 21:44:38.338,14.051
AS14.02,2014-03-19 21:56:53.786,3.675
AS14.02,2014-03-19 21:58:33.437,12.489
AS14.02,2014-03-19 22:06:11.214,3.41
AS14.02,2014-03-19 22:07:19.984,3.505
AS14.02,2014-03-21 15:49:54.365,35.288
AS14.02,2014-03-21 15:51:32.503,53.407
AS14.02,2014-03-21 15:52:38.854,60.215
AS14.02,2014-03-21 15:59:13.946,3.528
AS14.02,2014-03-21 15:59:50.789,10.113
AS14.02,2014-03-21 16:02:10.750,29.026
AS14.02,2014-03-21 16:08:16.003,31.957
AS14.02,2014-03-21 16:11:42.253,25.88
AS14.02,2014-03-21 16:14:05.631,9.334
AS14.02,2014-03-21 16:16:42.436,4.503
AS14.02,2014-03-21 16:18:46.936,48.092
AS14.02,2014-03-21 23:17:34.835,62.046
AS14.02,2014-03-21 23:23:34.119,14.256
AS14.02,2014-03-21 23:24:08.278,13.418
AS14.02,2014-03-21 23:24:27.671,12.171
AS14.02,2014-03-21 23:33:38.546,9.159
AS14.02,2014-03-21 23:33:53.864,17.846
AS14.02,2014-03-21 23:35:11.009,2.057
AS14.02,2014-03-22 10:28:39.338,95.839
AS14.02,2014-03-22 10:30:54.229,5.314
AS14.02,2014-03-22 10:31:02.148,5.116
AS14.02,2014-03-22 14:13:48.825,78.355
AS14.02,2014-03-22 14:16:32.255,12.758
AS14.02,2014-03-22 14:16:47.680,4.714
AS14.02,2014-03-22 14:20:45.553,10.104
AS14.02,2014-03-22 14:23:06.286,42.448
AS14.02,2014-03-22 14:23:57.608,11.841
AS14.02,2014-03-22 14:28:07.311,12.017
AS14.02,2014-03-22 14:31:17.368,22.114
AS14.02,2014-03-22 14:32:15.240,26.371
AS14.02,2014-03-22 14:38:56.190,21.05
AS14.02,2014-03-22 14:52:43.436,43.613
