id,time,appCat.unknown
AS14.01,2014-03-20 23:33:38.079,45.173
AS14.01,2014-03-25 15:41:06.697,1.003
AS14.01,2014-03-25 15:41:07.700,39.134
AS14.01,2014-03-25 18:18:22.497,9.755
AS14.01,2014-03-25 18:22:16.006,5.5
AS14.01,2014-03-25 18:22:25.611,14.115
AS14.01,2014-03-25 18:34:07.170,8.031
AS14.01,2014-03-25 19:14:43.565,2.008
AS14.01,2014-03-25 19:22:27.391,155.677
AS14.01,2014-03-30 00:14:46.391,48.416
AS14.01,2014-03-30 00:15:37.022,18.061
AS14.01,2014-03-31 17:39:25.707,29.29
AS14.01,2014-04-26 22:12:48.757,3.148
AS14.01,2014-05-03 14:02:21.256,30.102
AS14.03,2014-03-24 22:57:42.155,11.064
AS14.03,2014-03-25 22:56:08.617,47.324
AS14.03,2014-03-26 07:51:08.278,1.585
AS14.03,2014-03-26 07:51:14.813,6.064
AS14.03,2014-03-28 00:00:26.288,27.282
AS14.03,2014-03-28 23:03:07.941,36.505
AS14.03,2014-03-30 22:33:29.614,35.267
AS14.03,2014-04-03 22:24:51.976,20.192
AS14.03,2014-04-04 23:29:28.384,315.509
AS14.03,2014-04-06 22:50:56.881,23.094
AS14.03,2014-04-07 18:38:14.025,17.13
AS14.03,2014-04-07 22:57:00.220,12.157
AS14.03,2014-04-07 22:57:23.683,53.477
AS14.03,2014-04-08 23:55:17.107,11.128
AS14.03,2014-04-09 22:28:19.802,21.377
AS14.03,2014-04-09 22:29:14.743,28.877
AS14.03,2014-04-10 22:18:19.752,2239.937
AS14.03,2014-04-11 23:17:22.927,28.343
AS14.03,2014-04-12 22:17:14.434,21.096
AS14.03,2014-04-14 23:25:26.953,11.226
AS14.03,2014-04-15 23:18:13.729,12.082
AS14.03,2014-04-16 22:37:51.469,34.205
AS14.03,2014-04-16 22:47:05.882,4.023
AS14.03,2014-04-17 23:57:45.957,101.287
AS14.03,2014-04-18 00:06:22.861,3.099
AS14.03,2014-04-18 23:28:52.257,15.168
AS14.03,2014-04-20 15:23:01.138,12.211
AS14.03,2014-04-20 15:23:17.914,212.949
AS14.03,2014-04-22 22:27:30.835,23.108
AS14.03,2014-04-23 23:50:51.496,24.156
AS14.03,2014-04-24 23:11:14.861,17.439
AS14.03,2014-04-25 23:37:05.920,33.193
AS14.03,2014-04-25 23:37:40.848,21.308
AS14.03,2014-04-27 23:45:12.885,29.861
AS14.03,2014-04-27 23:46:25.707,25.689
AS14.03,2014-04-27 23:46:56.335,0.8
AS14.03,2014-04-28 07:13:50.348,5.412
AS14.03,2014-04-28 23:06:45.951,11.08
AS14.03,2014-04-29 22:58:44.124,13.057
AS14.03,2014-04-30 21:21:47.532,40.32
AS14.03,2014-04-30 22:20:43.734,1.18
AS14.03,2014-05-03 23:14:29.259,15.146
AS14.03,2014-05-04 23:12:53.135,41.416
AS14.03,2014-05-05 22:30:32.934,140.589
AS14.03,2014-05-06 23:29:21.680,12.061
AS14.03,2014-05-07 22:44:47.252,37.386
AS14.05,2014-03-15 10:33:18.217,1.004
AS14.05,2014-03-15 10:33:19.252,10.072
AS14.05,2014-03-15 14:23:26.094,56.272
AS14.05,2014-03-15 14:31:06.082,21.082
AS14.05,2014-03-15 14:44:34.773,12.066
AS14.05,2014-03-15 14:48:29.345,11.075
AS14.05,2014-03-15 15:23:41.094,14.053
AS14.05,2014-03-15 17:52:01.157,1.003
AS14.05,2014-03-15 17:52:02.170,56.124
AS14.05,2014-03-15 18:16:34.369,4.126
AS14.05,2014-03-16 20:51:51.329,52.293
AS14.05,2014-03-16 20:55:20.068,3.051
AS14.05,2014-03-17 16:15:39.223,1.003
AS14.05,2014-03-17 16:15:40.236,6.065
AS14.05,2014-03-18 16:10:00.523,1.009
AS14.05,2014-03-18 16:10:01.572,3.093
AS14.05,2014-03-18 22:55:26.384,23.76
AS14.05,2014-03-18 22:57:30.369,0.427
AS14.05,2014-03-19 00:13:01.204,3.24
AS14.05,2014-03-19 16:24:31.306,14.987
AS14.05,2014-03-19 16:34:34.187,5.166
AS14.05,2014-03-24 18:47:44.308,89.832
AS14.05,2014-03-24 18:49:53.088,10.106
AS14.05,2014-03-25 12:08:49.630,33.039
AS14.05,2014-03-25 12:13:08.043,10.12
AS14.05,2014-03-25 15:52:35.680,1.003
AS14.05,2014-03-25 15:52:36.790,71.206
AS14.05,2014-03-25 15:54:02.289,14.542
AS14.05,2014-03-25 15:54:26.769,27.288
AS14.05,2014-03-26 12:43:56.168,1.012
AS14.05,2014-03-26 12:43:57.217,31.206
AS14.05,2014-03-26 12:53:55.372,6.618
AS14.05,2014-03-26 12:55:16.437,12.115
AS14.05,2014-03-26 12:56:26.404,11.047
AS14.05,2014-03-26 12:59:38.516,6.141
AS14.05,2014-03-26 15:54:09.144,50.038
AS14.05,2014-03-26 16:00:16.388,6.11
AS14.05,2014-03-27 11:20:32.500,62.528
AS14.05,2014-03-27 11:35:37.865,9.054
AS14.05,2014-03-27 12:12:08.539,29.75
AS14.05,2014-03-27 12:31:57.796,5.107
AS14.05,2014-03-27 18:21:22.668,22.169
AS14.05,2014-03-27 18:29:34.476,9.035
AS14.05,2014-03-29 01:17:56.322,1.017
AS14.05,2014-03-29 01:17:57.426,31.516
AS14.05,2014-03-30 20:15:34.322,1.006
AS14.05,2014-03-30 20:15:35.368,17.801
AS14.05,2014-03-30 20:32:46.214,4.114
AS14.05,2014-03-31 12:30:05.299,1.002
AS14.05,2014-03-31 12:30:06.309,99.279
AS14.05,2014-03-31 12:36:18.135,34.227
AS14.05,2014-03-31 16:11:24.319,20.179
AS14.05,2014-03-31 16:38:52.778,5.045
AS14.05,2014-03-31 21:25:45.142,67.01
AS14.05,2014-03-31 21:36:32.275,10.985
