id,time,appCat.utilities
AS14.01,2014-03-20 23:22:49.928,1.002
AS14.01,2014-03-20 23:22:50.934,20.072
AS14.01,2014-03-21 03:13:49.783,3.011
AS14.01,2014-03-21 03:14:03.841,271.173
AS14.01,2014-03-21 03:24:53.671,3.017
AS14.01,2014-03-21 03:25:01.790,1.073
AS14.01,2014-03-21 03:25:02.868,3.341
AS14.01,2014-03-21 10:39:24.599,18.061
AS14.01,2014-03-21 11:12:26.546,52.156
AS14.01,2014-03-21 13:55:32.836,12.063
AS14.01,2014-03-21 14:09:09.901,12.076
AS14.01,2014-03-21 14:21:43.141,15.058
AS14.01,2014-03-21 14:25:15.058,1.002
AS14.01,2014-03-21 14:25:16.061,46.287
AS14.01,2014-03-21 14:37:12.124,1.008
AS14.01,2014-03-21 14:37:13.134,13.041
AS14.01,2014-03-21 14:40:30.075,2.033
AS14.01,2014-03-21 16:24:32.915,1.005
AS14.01,2014-03-21 16:24:33.927,17.251
AS14.01,2014-03-21 16:25:02.032,25.07
AS14.01,2014-03-21 17:58:06.976,1.003
AS14.01,2014-03-21 17:58:07.980,21.102
AS14.01,2014-03-21 18:01:22.599,12.239
AS14.01,2014-03-21 18:04:07.078,30.424
AS14.01,2014-03-21 18:05:19.086,17.706
AS14.01,2014-03-21 18:07:18.923,2.327
AS14.01,2014-03-21 18:26:53.114,10.209
AS14.01,2014-03-21 19:03:25.191,6.018
AS14.01,2014-03-22 09:52:50.654,23.092
AS14.01,2014-03-22 13:55:29.891,30.096
AS14.01,2014-03-22 18:52:09.299,64.433
AS14.01,2014-03-23 23:54:58.793,30.086
AS14.01,2014-03-24 11:35:50.335,168.668
AS14.01,2014-03-24 13:32:22.309,10.064
AS14.01,2014-03-25 15:03:54.611,1.031
AS14.01,2014-03-25 15:03:55.648,14.061
AS14.01,2014-03-25 15:05:28.256,21.086
AS14.01,2014-03-25 15:54:41.447,28.137
AS14.01,2014-03-25 15:55:27.664,10.116
AS14.01,2014-03-25 21:04:42.085,26.305
AS14.01,2014-03-25 21:05:51.299,38.193
AS14.01,2014-03-25 21:08:14.486,24.197
AS14.01,2014-03-25 21:10:00.655,43.168
AS14.01,2014-03-25 21:13:38.628,16.599
AS14.01,2014-03-26 23:41:28.944,33.365
AS14.01,2014-03-27 14:04:32.270,10.957
AS14.01,2014-03-27 14:07:46.280,28.144
AS14.01,2014-03-27 20:29:11.990,2.038
AS14.01,2014-03-27 20:29:14.029,51.227
AS14.01,2014-03-27 20:32:03.871,21.103
AS14.01,2014-03-27 20:35:31.931,17.086
AS14.01,2014-03-27 20:37:16.733,10.036
AS14.01,2014-03-27 20:45:58.167,1.003
AS14.01,2014-03-27 20:45:59.173,18.111
AS14.01,2014-03-27 20:46:43.440,4.236
AS14.01,2014-03-27 23:52:18.476,15.088
AS14.01,2014-03-28 10:46:01.256,67.233
AS14.01,2014-03-28 10:49:07.007,4.019
AS14.01,2014-03-28 10:49:47.239,13.239
AS14.01,2014-03-28 10:50:15.551,103.662
AS14.01,2014-03-28 14:11:30.551,19.088
AS14.01,2014-03-28 14:12:08.937,15.061
AS14.01,2014-03-28 14:13:14.290,24.103
AS14.01,2014-03-28 20:51:36.598,1.065
AS14.01,2014-03-28 20:51:37.668,37.174
AS14.01,2014-03-28 20:52:41.171,17.073
AS14.01,2014-03-29 08:46:41.655,1.055
AS14.01,2014-03-29 08:46:42.719,36.244
AS14.01,2014-03-29 13:52:27.016,55.443
AS14.01,2014-03-29 13:53:25.479,151.745
AS14.01,2014-03-29 13:56:49.517,4.024
AS14.01,2014-03-29 16:27:24.792,56.22
AS14.01,2014-03-29 17:53:51.388,1.013
AS14.01,2014-03-29 17:53:52.403,11.22
AS14.01,2014-03-29 17:55:21.061,22.096
AS14.01,2014-03-29 17:55:54.286,5.054
AS14.01,2014-03-29 17:57:53.799,1.631
AS14.01,2014-03-29 18:23:20.625,18.841
AS14.01,2014-03-29 18:30:30.417,21.098
AS14.01,2014-03-29 18:31:03.983,10.04
AS14.01,2014-03-29 19:25:24.513,1.007
AS14.01,2014-03-29 19:25:25.523,12.033
AS14.01,2014-03-29 19:27:13.076,12.036
AS14.01,2014-03-29 19:27:55.342,49.217
AS14.01,2014-03-29 21:42:36.084,29.113
AS14.01,2014-03-29 21:44:12.500,40.262
AS14.01,2014-03-29 21:45:13.982,4.061
AS14.01,2014-03-29 21:45:46.151,51.155
