id,time,appCat.weather
AS14.01,2014-03-23 16:21:32.480,30.386
AS14.03,2014-03-23 20:47:33.586,44.854
AS14.03,2014-03-30 12:07:09.963,29.89
AS14.03,2014-03-30 12:07:47.131,2.065
AS14.06,2014-03-30 20:48:12.089,1.574
AS14.06,2014-03-30 20:57:35.056,1.225
AS14.06,2014-03-30 21:11:20.434,2.06
AS14.06,2014-04-09 19:12:29.923,1.007
AS14.06,2014-04-10 07:53:03.190,26.138
AS14.06,2014-04-12 11:21:16.276,16.081
AS14.06,2014-04-15 07:31:09.381,2.005
AS14.06,2014-04-15 07:46:53.717,10.051
AS14.06,2014-04-23 18:44:24.391,26.582
AS14.06,2014-04-24 18:02:16.401,15.117
AS14.06,2014-05-02 16:05:43.470,7.101
AS14.06,2014-05-07 07:46:11.275,8.026
AS14.09,2014-03-22 08:35:43.779,3.02
AS14.09,2014-03-25 16:29:23.872,17.433
AS14.09,2014-03-27 09:55:56.326,14.396
AS14.09,2014-03-30 12:29:35.849,19.441
AS14.09,2014-03-30 14:58:30.469,24.193
AS14.09,2014-03-30 17:19:32.924,7.036
AS14.09,2014-04-02 10:50:34.451,32.864
AS14.09,2014-04-06 19:04:38.553,24.224
AS14.09,2014-04-07 09:54:55.013,26.403
AS14.09,2014-04-07 09:56:12.398,2.01
AS14.09,2014-04-07 10:55:27.167,5.086
AS14.09,2014-04-07 11:42:07.851,15.125
AS14.09,2014-04-07 14:08:52.667,6.121
AS14.09,2014-04-07 20:25:29.023,35.607
AS14.09,2014-04-24 12:18:00.453,5.032
AS14.09,2014-04-25 11:13:22.013,14.066
AS14.09,2014-04-26 10:47:00.526,25.462
AS14.12,2014-04-25 21:01:54.132,44.409
AS14.12,2014-04-26 19:11:42.496,22.066
AS14.12,2014-04-27 10:38:31.111,86.672
AS14.16,2014-04-06 14:28:41.832,5.22
AS14.16,2014-04-23 16:20:19.717,4.01
AS14.25,2014-04-08 12:57:37.121,10.147
AS14.25,2014-04-08 18:25:01.575,3.029
AS14.25,2014-04-09 08:39:40.140,51.726
AS14.25,2014-04-10 23:44:23.496,21.103
AS14.25,2014-04-13 10:40:17.638,12.054
AS14.25,2014-04-13 11:36:27.088,41.606
AS14.25,2014-04-14 15:57:35.266,7.031
AS14.25,2014-04-15 06:52:34.548,33.173
AS14.25,2014-04-16 08:44:21.322,5.033
AS14.25,2014-04-20 01:22:20.227,13.036
AS14.25,2014-04-20 21:08:58.339,39.563
AS14.25,2014-04-21 13:09:52.017,25.468
AS14.25,2014-04-21 17:35:08.315,26.087
AS14.25,2014-04-23 18:39:50.009,9.127
AS14.25,2014-04-24 07:59:17.221,38.19
AS14.25,2014-04-24 23:35:20.188,3.107
AS14.25,2014-04-25 00:04:26.017,47.906
AS14.25,2014-04-25 07:52:19.519,16.07
AS14.25,2014-04-25 17:41:14.323,25.236
AS14.25,2014-04-28 08:15:00.513,20.151
AS14.25,2014-04-28 08:15:21.671,1.003
AS14.25,2014-04-28 10:53:27.053,7.027
AS14.25,2014-04-29 09:09:17.137,1.649
AS14.25,2014-04-29 09:09:37.262,12.055
AS14.25,2014-04-29 09:09:53.135,4.091
AS14.25,2014-04-30 09:24:37.230,5.067
AS14.25,2014-05-01 22:48:07.157,15.079
AS14.25,2014-05-04 00:35:22.142,41.287
AS14.25,2014-05-05 06:32:53.158,16.079
