id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.08,2014-02-17 12:51:38.029,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-02-17 12:51:44.464,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-02-17 14:14:34.601,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-02-17 14:35:54.927,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-02-18 23:05:39.954,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-02-18 23:06:04.378,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-02-25 17:13:49.881,,,,,,1.0,,,,,,,,,,,,,
AS14.08,2014-02-28 14:33:57.878,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-02-28 14:34:43.069,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-02-28 14:35:27.938,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-02-28 14:35:41.809,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-03 16:03:25.003,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-03 18:06:05.334,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-03 18:23:20.259,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-03 18:36:13.243,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-03 19:06:37.023,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-03 19:18:07.345,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-03 19:23:11.045,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-05 15:00:00.000,7.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-05 17:00:00.000,7.0,-1.0,1.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-05 20:00:00.000,5.0,1.0,-1.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-06 09:00:00.000,7.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-06 12:00:00.000,8.0,-1.0,1.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-06 15:00:00.000,7.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-06 17:00:00.000,6.0,-1.0,0.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-06 17:10:36.987,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 17:58:04.838,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 17:59:07.111,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 17:59:29.335,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 17:59:43.000,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 18:01:13.293,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 18:01:56.895,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 18:18:23.006,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 18:19:03.232,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 21:00:00.000,8.0,-1.0,2.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-06 21:29:49.793,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 21:37:31.476,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 21:38:08.395,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-06 21:38:47.776,,,,,,,1.0,,,,,,,,,,,,
AS14.08,2014-03-07 09:00:00.000,7.0,-1.0,1.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-07 13:00:00.000,7.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-07 14:00:00.000,7.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-07 18:00:00.000,9.0,1.0,2.0,,,,,,,,,,,,,,,,
AS14.08,2014-03-07 20:00:00.000,7.0,1.0,1.0,,,,,,,,,,,,,,,,
