id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.01,2014-02-17,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-02-18,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-02-19,,,,,,1.0,1.0,,,,,,,,,,,,
AS14.01,2014-02-20,,,,,,1.0,1.0,,,,,,,,,,,,
AS14.01,2014-02-21,,,,,,,1.0,,,,,,,,,,,,
AS14.01,2014-02-22,,,,,,1.0,1.0,,,,,,,,,,,,
AS14.01,2014-02-23,,,,,,,,,,,,,,,,,,,
AS14.01,2014-02-24,,,,,,,,,,,,,,,,,,,
AS14.01,2014-02-25,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-02-26,6.25,-0.25,0.75,,,1.0,1.0,,,,,,,,,,,,
AS14.01,2014-02-27,6.333333333333333,0.0,0.3333333333333333,,,,,,,,,,,,,,,,
AS14.01,2014-02-28,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-03-01,,,,,,,1.0,,,,,,,,,,,,
AS14.01,2014-03-02,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-03,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-03-04,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-05,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-03-06,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-03-07,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-03-08,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-09,,,,,,,,,,,,,,,,,,,
AS14.01,2014-03-10,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-03-11,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-03-12,,,,,,1.0,1.0,,,,,,,,,,,,
AS14.01,2014-03-13,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-03-14,,,,,,1.0,1.0,,,,,,,,,,,,
AS14.01,2014-03-15,,,,,,,1.0,,,,,,,,,,,,
AS14.01,2014-03-16,,,,,,,1.0,,,,,,,,,,,,
AS14.01,2014-03-17,,,,,,,1.0,,,,,,,,,,,,
AS14.01,2014-03-18,,,,,,1.0,1.0,,,,,,,,,,,,
AS14.01,2014-03-19,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-03-20,,,,0.08154761904761905,252.8826666937934,1.0,,5.928071428571429,58.600783783783776,58.476,,,,5.6725,73.43009090909091,,45.173,10.536999999999999,
AS14.01,2014-03-21,6.2,0.2,0.2,0.13405010398938863,153.665871795426,1.0,,14.269172727272727,55.09552631578948,53.024,6.193,,57.40200000000001,29.968875,75.14166666666667,70.41884615384616,,23.029,
AS14.01,2014-03-22,6.4,0.6,0.6,0.23688021923995814,47.61365115919778,1.0,1.0,7.781159574468085,51.697062499999994,46.662,7.025333333333333,,,14.020428571428571,36.636,37.305,,39.207,
AS14.01,2014-03-23,6.8,0.2,0.8,0.14274111580506366,67.06764357868985,,,12.134396226415095,53.4420306122449,31.448666666666668,10.85075,,,12.137166666666667,50.04661111111111,,,30.086,30.386
AS14.01,2014-03-24,6.0,0.8,0.0,0.07896105611559796,76.77219898238471,1.0,,4.982505747126437,47.541687179487184,122.12137499999999,5.684333333333334,,3.01,11.093000000000002,74.9680465116279,83.961,,89.366,
AS14.01,2014-03-25,6.75,0.5,0.5,0.09837411239050677,169.0972834572078,,1.0,10.026873786407767,69.43750675675676,34.103,10.7635,,,29.80316666666667,68.55253571428571,,29.402875,22.2893,
AS14.01,2014-03-26,6.6,-0.2,0.6,0.10130832167007592,94.38966092159006,,,8.460123188405797,47.061534031413615,130.06842857142857,8.721833333333334,,,16.249666666666666,124.1097027027027,,,33.365,
AS14.01,2014-03-27,7.0,0.2,0.8,0.15951064096909748,129.20111110651933,1.0,1.0,7.982642857142857,43.3532,71.03766666666667,14.073,,15.20425,9.755333333333333,71.95238461538462,23.657,,16.275363636363636,
AS14.01,2014-03-28,6.4,-0.6,0.6,0.09569802163712014,55.94873863187704,1.0,,81.14995967741935,24.078694444444444,91.40027272727274,12.738,116.518,,37.6585,25.63705,59.63205263157895,,30.171699999999998,
AS14.01,2014-03-29,8.0,0.2,1.0,0.06820281010186964,130.04096874594688,1.0,1.0,23.52566265060241,47.73143859649123,108.49526666666667,,,,24.227714285714285,59.111,17.47833333333333,,25.026541666666663,
AS14.01,2014-03-30,7.5,-0.5,0.75,0.049092970521542,167.52644447927136,,,7.818207547169812,61.83357142857143,170.63077777777778,,,,12.333833333333333,55.895,,33.2385,38.296,
AS14.01,2014-03-31,7.4,0.0,0.6,0.07050548088338955,95.45833871249226,1.0,,17.01956896551724,41.33827131782945,51.73294117647059,6.875833333333333,51.176,,24.413999999999998,56.27729166666666,36.6762,29.29,12.370882352941177,
AS14.01,2014-04-01,6.0,0.2,0.0,0.118443242712736,90.38897895812988,1.0,,5.749033195020747,33.12785869565217,42.94320833333333,15.21738888888889,78.247,30.796000000000003,15.14875,45.81879090909091,115.33007142857143,,19.171703703703702,
